Known Locations,Algorithm,Number Correct,Average Distance to True Location (KM),Runtime (Seconds),Standard Deviation of Average Distances
0,Random,1.0333,210.5632,0.0046,4.0744
0,Greedy,1.0,171.3947,0.2925,0.0
0,Partitioning-Based,11.0,107.2386,397.4918,0.0
0,Graph Drawing,1.4667,200.2531,7.5295,17.6145
3,Random,3.7333,211.3271,0.0047,3.9804
3,Greedy,5.5667,191.8009,0.1023,44.5949
3,Partitioning-Based,22.0333,121.382,419.185,54.6683
3,Graph Drawing,5.0,134.8171,8.3625,25.0135
68,Random,69.1,189.3965,0.0051,3.5319
68,Greedy,71.7333,161.813,0.1073,50.8007
68,Partitioning-Based,79.7,136.5924,405.4833,59.2571
68,Graph Drawing,72.0,92.6715,7.5383,24.8616
206,Random,206.9667,146.3208,0.0057,5.1359
206,Greedy,209.2333,133.4153,0.1072,34.683
206,Partitioning-Based,219.0667,112.5161,396.7046,47.8983
206,Graph Drawing,215.9667,39.0742,5.8469,3.2839
344,Random,345.0667,105.53,0.0062,4.2922
344,Greedy,348.4333,97.7457,0.0972,23.8029
344,Partitioning-Based,350.4667,86.9888,431.18,27.0903
344,Graph Drawing,353.8667,24.4707,4.1703,1.7799
481,Random,481.8667,63.4465,0.0065,3.6456
481,Greedy,494.5667,36.4627,0.0829,14.2442
481,Partitioning-Based,488.3667,59.2672,394.2475,15.6749
481,Graph Drawing,493.6,13.7765,2.6696,0.9123
